epoch,accuracy,loss,val_accuracy,val_loss
0,0.7310000061988831,0.876790463924408,0.8075000047683716,0.45045605301856995
1,0.8289999961853027,0.4239963889122009,0.8512499928474426,0.3082836866378784
2,0.8610000014305115,0.35482293367385864,0.8887500166893005,0.2902137041091919
3,0.8939999938011169,0.2815115749835968,0.7574999928474426,0.8600069284439087
4,0.9039999842643738,0.2427629679441452,0.8700000047683716,0.29699623584747314
5,0.9290000200271606,0.1839994490146637,0.8949999809265137,0.3170374631881714
6,0.9350000023841858,0.17289867997169495,0.8374999761581421,0.5024449825286865
7,0.953000009059906,0.12533217668533325,0.9024999737739563,0.3336045742034912
8,0.9549999833106995,0.11205493658781052,0.8849999904632568,0.4368668794631958
9,0.9629999995231628,0.11055759340524673,0.8374999761581421,0.6524842977523804
