epoch,accuracy,loss,val_accuracy,val_loss
0,0.7089999914169312,0.910713791847229,0.7387499809265137,0.5162774920463562
1,0.8479999899864197,0.3708793520927429,0.8812500238418579,0.30016908049583435
2,0.8629999756813049,0.3660828173160553,0.8824999928474426,0.31660327315330505
3,0.8939999938011169,0.2898522615432739,0.9100000262260437,0.285786896944046
4,0.9020000100135803,0.24782642722129822,0.9112499952316284,0.27786457538604736
5,0.9279999732971191,0.19427567720413208,0.8987500071525574,0.2900235950946808
6,0.9340000152587891,0.18752999603748322,0.9049999713897705,0.27426403760910034
7,0.9520000219345093,0.12108330428600311,0.8324999809265137,0.7301602363586426
8,0.9509999752044678,0.14456965029239655,0.9100000262260437,0.3229861855506897
9,0.953000009059906,0.12034983187913895,0.9024999737739563,0.34593790769577026
